Month_Year,Monthly Cost
summary,0
ecsv_1_2018,224.991185
ecsv_1_2019,265.844
ecsv_5_2017,225.40429799999998
ecsv_4_2017,220.25
ecsv_11_2018,257.32
ecsv_10_2018,265.844
ecsv_3_2017,8.588782
ecsv_8_2017,226.928371
ecsv_9_2017,217.40562500000001
ecsv_6_2018,257.32
ecsv_7_2018,265.49118500000003
ecsv_12_2017,225.29399999999998
ecsv_6_2017,219.63424999999998
ecsv_7_2017,227.544
ecsv_12_2018,265.844
ecsv_2_2018,203.318991
ecsv_3_2018,265.844
ecsv_3_2019,156.149944
ecsv_2_2019,240.272
ecsv_8_2018,265.844
ecsv_9_2018,257.67287500000003
ecsv_5_2018,0
ecsv_4_2018,257.32
ecsv_11_2017,217.76712500000002
ecsv_10_2017,225.29399999999998
Total Cost,5463.19
